,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,9.5,2022-09-13 15:04:11.158380,2022-09-13 15:04:54.995381,0 days 00:00:43.837001,relu,6,0.0016483441012298077,0.6073002883610296,0.41887519501435794,tiny,0.9983516558987702,64,COMPLETE
1,1,113.7,2022-09-13 15:04:11.160384,2022-09-13 15:04:53.931387,0 days 00:00:42.771003,relu,8,0.013368614961620487,1.056665906663327e-05,0.39059946317919564,tiny,0.9866313850383795,256,COMPLETE
2,2,147.7,2022-09-13 15:04:53.933413,2022-09-13 15:05:41.926456,0 days 00:00:47.993043,relu,8,0.0009633130489722207,1.3981318883273406e-05,0.925958172035509,small,0.9990366869510278,256,COMPLETE
3,3,349.6,2022-09-13 15:04:54.997393,2022-09-13 15:05:42.491461,0 days 00:00:47.494068,relu,5,0.03293103972690512,0.03301277780083737,0.4779313302631697,tiny,0.9670689602730949,32,COMPLETE
4,4,9.4,2022-09-13 15:05:41.928474,2022-09-13 15:06:34.679528,0 days 00:00:52.751054,relu,5,0.014888248784331246,0.19776320004868395,0.35644302882658885,small,0.9851117512156687,32,PRUNED
5,5,377.6,2022-09-13 15:05:42.492468,2022-09-13 15:06:26.291493,0 days 00:00:43.799025,relu,8,0.00014153428725250647,0.002979251730178365,0.43680835672849266,tiny,0.9998584657127475,256,COMPLETE
6,6,111.1,2022-09-13 15:06:26.292500,2022-09-13 15:06:49.268520,0 days 00:00:22.976020,tanh,10,0.00010514152258435448,0.000944425138681651,4.778732220953943,small,0.9998948584774157,1024,PRUNED
7,7,109.2,2022-09-13 15:06:34.681506,2022-09-13 15:06:55.527871,0 days 00:00:20.846365,tanh,10,0.00015754235199005312,0.0009253889202385558,4.770261431620138,tiny,0.9998424576480099,1024,PRUNED
8,8,33.4,2022-09-13 15:06:49.270510,2022-09-13 15:07:21.436671,0 days 00:00:32.166161,tanh,3,0.0001054122132761482,0.0016656687293223273,1.3272611950081565,tiny,0.9998945877867238,8,PRUNED
9,9,500.0,2022-09-13 15:06:55.529838,2022-09-13 15:07:38.749679,0 days 00:00:43.219841,tanh,8,0.00047795584292263513,0.00569123302751534,1.0232954202431506,tiny,0.9995220441570773,256,COMPLETE
10,10,500.0,2022-09-13 15:07:21.437671,2022-09-13 15:08:04.736128,0 days 00:00:43.298457,relu,8,0.0005382669406032304,0.0147809142336081,1.1388942305557632,tiny,0.9994617330593968,256,COMPLETE
11,11,9.4,2022-09-13 15:07:38.750680,2022-09-13 15:08:16.201104,0 days 00:00:37.450424,tanh,3,0.00074790314591773,0.02048460421582201,1.789975332797988,small,0.9992520968540822,8,PRUNED
12,12,500.0,2022-09-13 15:08:04.737130,2022-09-13 15:08:47.944097,0 days 00:00:43.206967,tanh,7,0.0005748038894505899,0.029372971189781032,1.4596136791696497,tiny,0.9994251961105494,128,COMPLETE
13,13,500.0,2022-09-13 15:08:16.203097,2022-09-13 15:08:59.336104,0 days 00:00:43.133007,tanh,7,0.00047729269027394313,0.024871742524231067,0.7821414447397987,tiny,0.999522707309726,128,COMPLETE
14,14,68.4,2022-09-13 15:08:47.946098,2022-09-13 15:09:08.945100,0 days 00:00:20.999002,tanh,9,0.0039621859086101914,0.00012379154518970444,0.8043672908424366,tiny,0.9960378140913898,512,PRUNED
15,15,93.6,2022-09-13 15:08:59.337105,2022-09-13 15:09:20.502129,0 days 00:00:21.165024,tanh,9,0.0026881144593972396,9.115215369134623e-05,2.31913490939061,tiny,0.9973118855406028,512,PRUNED
16,16,113.3,2022-09-13 15:09:08.946098,2022-09-13 15:09:29.873104,0 days 00:00:20.927006,relu,9,0.0035947041796290558,0.00014805792849144266,3.093875564691207,tiny,0.996405295820371,512,PRUNED
17,17,292.1,2022-09-13 15:09:20.503132,2022-09-13 15:10:06.414260,0 days 00:00:45.911128,relu,6,0.000294170850477059,0.008295666283938422,2.9337491873614794,tiny,0.999705829149523,64,COMPLETE
18,18,9.4,2022-09-13 15:09:29.874104,2022-09-13 15:09:51.876693,0 days 00:00:22.002589,tanh,6,0.00038642119633912445,0.16038639407976277,0.6490686566744153,tiny,0.9996135788036609,64,PRUNED
19,19,73.2,2022-09-13 15:09:51.878675,2022-09-13 15:10:40.760245,0 days 00:00:48.881570,relu,7,0.0002529247501033446,0.006743408129431615,1.0873977515189313,small,0.9997470752498967,128,COMPLETE
20,20,9.2,2022-09-13 15:10:06.416261,2022-09-13 15:10:29.930245,0 days 00:00:23.513984,tanh,7,0.0011884589989526557,0.10127790247600663,0.6318296664205726,small,0.9988115410010473,128,PRUNED
21,21,202.0,2022-09-13 15:10:29.932244,2022-09-13 15:10:53.862208,0 days 00:00:23.929964,tanh,5,0.09168202809459582,0.006642755811646798,0.9593561297695483,tiny,0.9083179719054042,32,PRUNED
22,22,9.6,2022-09-13 15:10:40.762208,2022-09-13 15:11:02.668215,0 days 00:00:21.906007,tanh,7,0.0005796352344713915,0.03446147276104385,1.3418971389984842,tiny,0.9994203647655286,128,PRUNED
23,23,9.6,2022-09-13 15:10:53.864226,2022-09-13 15:11:15.731241,0 days 00:00:21.867015,tanh,7,0.0006491704473393671,0.03515408468575764,1.4994667250568017,tiny,0.9993508295526606,128,PRUNED
24,24,9.4,2022-09-13 15:11:02.669215,2022-09-13 15:11:24.081215,0 days 00:00:21.412000,tanh,7,0.0019398279228285654,0.05470719777433581,1.696516321463765,tiny,0.9980601720771715,128,PRUNED
25,25,9.0,2022-09-13 15:11:15.732243,2022-09-13 15:11:42.417241,0 days 00:00:26.684998,tanh,4,0.0014692512602716016,0.07935014375240665,0.6996303905472485,tiny,0.9985307487397284,16,PRUNED
26,26,9.7,2022-09-13 15:11:24.082216,2022-09-13 15:11:50.594244,0 days 00:00:26.512028,tanh,4,0.00022581591690346665,0.5448260797841606,0.7165038037877531,tiny,0.9997741840830965,16,PRUNED
27,27,9.8,2022-09-13 15:11:42.418253,2022-09-13 15:12:03.072249,0 days 00:00:20.653996,relu,8,0.00030490148466505375,0.385717128533,2.090314451659033,tiny,0.999695098515335,256,PRUNED
28,28,500.0,2022-09-13 15:11:50.596277,2022-09-13 15:12:35.901277,0 days 00:00:45.305000,relu,8,0.008988324930505172,0.013332903370278395,0.5416515859671487,tiny,0.9910116750694948,256,COMPLETE
29,29,49.3,2022-09-13 15:12:03.076248,2022-09-13 15:12:24.566242,0 days 00:00:21.489994,relu,9,0.000464563067367133,0.014925749041766408,0.5453294897081886,tiny,0.9995354369326329,512,PRUNED
30,30,311.7,2022-09-13 15:12:24.568241,2022-09-13 15:12:49.176248,0 days 00:00:24.608007,tanh,6,0.007341958621535014,0.00046840245681365193,0.8971472506836269,tiny,0.992658041378465,64,PRUNED
31,31,9.6,2022-09-13 15:12:35.903273,2022-09-13 15:12:58.877307,0 days 00:00:22.974034,tanh,6,0.0061379988691973204,0.9379968863425948,0.5703469813553229,tiny,0.9938620011308027,64,PRUNED
32,32,486.1,2022-09-13 15:12:49.178243,2022-09-13 15:13:32.981308,0 days 00:00:43.803065,relu,8,0.0066925737288778125,0.004014811888744337,1.1707970807371932,tiny,0.9933074262711222,256,COMPLETE
33,33,103.8,2022-09-13 15:12:58.879308,2022-09-13 15:13:19.700305,0 days 00:00:20.820997,relu,8,0.018873385605858835,0.01563672210708999,1.1676543841157085,tiny,0.9811266143941412,256,PRUNED
34,34,229.3,2022-09-13 15:13:19.702333,2022-09-13 15:13:41.351342,0 days 00:00:21.649009,relu,8,0.008193611201945299,0.0029339759057485995,1.110404189150214,tiny,0.9918063887980547,256,PRUNED
35,35,440.0,2022-09-13 15:13:32.983306,2022-09-13 15:13:56.067906,0 days 00:00:23.084600,relu,8,0.0010691852384308023,0.009430850937959125,1.0134475198642534,tiny,0.9989308147615692,256,PRUNED
36,36,500.0,2022-09-13 15:13:41.352339,2022-09-13 15:14:28.752979,0 days 00:00:47.400640,relu,9,0.0009803726085536593,0.010658084252220774,0.5010361201963481,tiny,0.9990196273914463,512,COMPLETE
37,37,441.1,2022-09-13 15:13:56.068904,2022-09-13 15:14:48.817559,0 days 00:00:52.748655,relu,9,0.0022021373546351327,0.0040471921938075245,0.8239368629570937,small,0.9977978626453649,512,COMPLETE
38,38,124.0,2022-09-13 15:14:28.753986,2022-09-13 15:14:53.374562,0 days 00:00:24.620576,relu,10,0.0019535386811163243,0.001429875779892047,0.3160625024367441,small,0.9980464613188836,1024,PRUNED
39,39,73.0,2022-09-13 15:14:48.818564,2022-09-13 15:15:14.007533,0 days 00:00:25.188969,relu,10,0.026531569034691244,0.001764628998245577,0.3119589747928133,small,0.9734684309653088,1024,PRUNED
40,40,95.9,2022-09-13 15:14:53.375526,2022-09-13 15:15:15.709559,0 days 00:00:22.334033,relu,9,0.022946255525229966,0.0003662949087385093,0.46366663906543465,tiny,0.97705374447477,512,PRUNED
41,41,93.4,2022-09-13 15:15:14.008527,2022-09-13 15:15:35.435911,0 days 00:00:21.427384,relu,9,0.05028376476848422,0.0005208443322967314,0.4501763006378975,tiny,0.9497162352315158,512,PRUNED
42,42,9.2,2022-09-13 15:15:15.711536,2022-09-13 15:15:37.421913,0 days 00:00:21.710377,tanh,7,0.0008422136267002079,0.02643786900786958,1.4788725068114361,tiny,0.9991577863732998,128,PRUNED
43,43,9.2,2022-09-13 15:15:35.436917,2022-09-13 15:15:56.948524,0 days 00:00:21.511607,tanh,7,0.0008302056002173492,0.030372376935836873,1.4149735792831915,tiny,0.9991697943997826,128,PRUNED
44,44,339.0,2022-09-13 15:15:37.422923,2022-09-13 15:15:59.371523,0 days 00:00:21.948600,relu,8,0.00017462920160445818,0.013362360273506556,0.544683048157518,tiny,0.9998253707983955,256,PRUNED
45,45,53.9,2022-09-13 15:15:56.949523,2022-09-13 15:16:18.564299,0 days 00:00:21.614776,relu,8,0.0004105854594649597,0.009947654193217036,0.5421154474421088,tiny,0.9995894145405351,256,PRUNED
46,46,9.5,2022-09-13 15:15:59.372524,2022-09-13 15:16:20.741327,0 days 00:00:21.368803,relu,8,0.010973061483552463,0.08798023417274463,0.3911957018575062,tiny,0.9890269385164475,256,PRUNED
47,47,9.5,2022-09-13 15:16:18.565303,2022-09-13 15:16:40.848327,0 days 00:00:22.283024,relu,7,0.011152304917664403,0.049888122196837734,0.3973055540095523,tiny,0.9888476950823356,128,PRUNED
48,48,65.8,2022-09-13 15:16:20.742323,2022-09-13 15:16:42.720327,0 days 00:00:21.978004,relu,9,0.00422071542264744,2.060139893948354e-05,1.8117447244653602,tiny,0.9957792845773525,512,PRUNED
49,49,137.6,2022-09-13 15:16:40.850322,2022-09-13 15:17:02.918368,0 days 00:00:22.068046,relu,9,0.0005797595284814802,0.0051236378863918665,1.7238808567491906,tiny,0.9994202404715186,512,PRUNED
50,50,416.5,2022-09-13 15:16:42.722323,2022-09-13 15:17:05.436369,0 days 00:00:22.714046,relu,10,0.0015242216328400595,0.004967611896543835,2.279809933254709,tiny,0.99847577836716,1024,PRUNED
51,51,8.9,2022-09-13 15:17:02.919383,2022-09-13 15:17:25.420598,0 days 00:00:22.501215,tanh,10,0.00138169875649666,0.17663021296545253,2.53440084722202,tiny,0.9986183012435034,1024,PRUNED
52,52,398.6,2022-09-13 15:17:05.437398,2022-09-13 15:17:29.057623,0 days 00:00:23.620225,tanh,8,0.00047283386661517933,0.0025581579589496026,0.8867249951373523,tiny,0.9995271661333848,256,PRUNED
53,53,72.0,2022-09-13 15:17:25.421612,2022-09-13 15:18:10.826152,0 days 00:00:45.404540,tanh,8,0.0005077431079471737,0.01810092987524269,0.7832232247268579,tiny,0.9994922568920528,256,COMPLETE
54,54,54.4,2022-09-13 15:17:29.059614,2022-09-13 15:17:51.427613,0 days 00:00:22.367999,tanh,7,0.00035663266994275916,0.021550368110503638,0.773105642798716,tiny,0.9996433673300572,128,PRUNED
55,55,9.1,2022-09-13 15:17:51.429614,2022-09-13 15:18:13.281121,0 days 00:00:21.851507,tanh,8,0.00024187290331784258,0.05269152990767735,1.2898460893274628,tiny,0.9997581270966821,256,PRUNED
56,56,9.1,2022-09-13 15:18:10.828119,2022-09-13 15:18:34.674278,0 days 00:00:23.846159,tanh,7,0.00019883044353216628,0.05697214155537056,1.2721979083330404,small,0.9998011695564678,128,PRUNED
57,57,8.8,2022-09-13 15:18:13.282117,2022-09-13 15:18:36.935280,0 days 00:00:23.653163,tanh,7,0.0006943292764203216,0.011345271522781373,0.6222841736788646,small,0.9993056707235797,128,PRUNED
58,58,500.0,2022-09-13 15:18:34.675280,2022-09-13 15:19:22.352277,0 days 00:00:47.676997,tanh,6,0.0001334718595576481,0.008791875947178047,0.6169794436087441,tiny,0.9998665281404423,64,COMPLETE
59,59,132.9,2022-09-13 15:18:36.936277,2022-09-13 15:19:00.393327,0 days 00:00:23.457050,tanh,6,0.0009785396006924457,0.006841389832765178,0.9938973520092187,tiny,0.9990214603993075,64,PRUNED
60,60,142.0,2022-09-13 15:19:00.395337,2022-09-13 15:19:23.791242,0 days 00:00:23.395905,tanh,5,0.00012101606343408598,0.021025715269919518,0.6616746738531186,tiny,0.9998789839365659,32,PRUNED
